week,event_key,model,accuracy,num_matches
2,2025onsca,knn,0.6486486486486487,74
2,2025onwel,knn,0.7681159420289855,69
2,2025orore,knn,0.6266666666666667,75
2,2025qcmo,knn,0.6741573033707865,89
2,2025schar,knn,0.6588235294117647,85
2,2025tuhc,knn,0.6111111111111112,90
2,2025tuis,knn,0.6835443037974683,79
2,2025tuis2,knn,0.7586206896551724,87
2,2025tuis3,knn,0.7590361445783133,83
2,2025txbel,knn,0.5979381443298969,97
2,2025txpla,knn,0.6410256410256411,78
2,2025vapor,knn,0.6086956521739131,69
2,2025wasam,knn,0.7402597402597403,77
2,2025arli,random_forest,0.8,75
2,2025ausc,random_forest,0.7582417582417582,91
2,2025cave,random_forest,0.6666666666666666,93
2,2025ctwat,random_forest,0.6741573033707865,89
2,2025gadal,random_forest,0.7792207792207793,77
2,2025isde3,random_forest,0.7808219178082192,73
2,2025mabos,random_forest,0.6703296703296703,91
2,2025mdpas,random_forest,0.6853932584269663,89
2,2025miesc,random_forest,0.8021978021978022,91
2,2025mike2,random_forest,0.8064516129032258,93
2,2025mimtp,random_forest,0.7291666666666666,96
2,2025misjo,random_forest,0.8020833333333334,96
2,2025mose,random_forest,0.7037037037037037,81
2,2025nccat,random_forest,0.8,75
2,2025njfla,random_forest,0.6976744186046512,86
2,2025njtab,random_forest,0.7530864197530864,81
2,2025ntwc,random_forest,0.5903614457831325,83
2,2025nysu,random_forest,0.8089887640449438,89
2,2025onsca,random_forest,0.7162162162162162,74
2,2025onwel,random_forest,0.7681159420289855,69
2,2025orore,random_forest,0.6133333333333333,75
2,2025qcmo,random_forest,0.7415730337078652,89
2,2025schar,random_forest,0.7176470588235294,85
2,2025tuhc,random_forest,0.6777777777777778,90
2,2025tuis,random_forest,0.7721518987341772,79
2,2025tuis2,random_forest,0.8390804597701149,87
2,2025tuis3,random_forest,0.7590361445783133,83
2,2025txbel,random_forest,0.7422680412371134,97
2,2025txpla,random_forest,0.7692307692307693,78
2,2025vapor,random_forest,0.6521739130434783,69
2,2025wasam,random_forest,0.7662337662337663,77
2,2025arli,log_reg,0.8133333333333334,75
2,2025ausc,log_reg,0.7582417582417582,91
2,2025cave,log_reg,0.7096774193548387,93
2,2025ctwat,log_reg,0.6629213483146067,89
2,2025gadal,log_reg,0.7662337662337663,77
2,2025isde3,log_reg,0.7808219178082192,73
2,2025mabos,log_reg,0.6813186813186813,91
2,2025mdpas,log_reg,0.6853932584269663,89
2,2025miesc,log_reg,0.7692307692307693,91
2,2025mike2,log_reg,0.7741935483870968,93
2,2025mimtp,log_reg,0.7083333333333334,96
2,2025misjo,log_reg,0.8020833333333334,96
2,2025mose,log_reg,0.7037037037037037,81
2,2025nccat,log_reg,0.7866666666666666,75
2,2025njfla,log_reg,0.686046511627907,86
2,2025njtab,log_reg,0.7777777777777778,81
2,2025ntwc,log_reg,0.5662650602409639,83
2,2025nysu,log_reg,0.797752808988764,89
2,2025onsca,log_reg,0.7432432432432432,74
2,2025onwel,log_reg,0.7391304347826086,69
2,2025orore,log_reg,0.6266666666666667,75
2,2025qcmo,log_reg,0.7191011235955056,89
2,2025schar,log_reg,0.7058823529411765,85
2,2025tuhc,log_reg,0.6333333333333333,90
2,2025tuis,log_reg,0.8481012658227848,79
2,2025tuis2,log_reg,0.8275862068965517,87
2,2025tuis3,log_reg,0.7469879518072289,83
2,2025txbel,log_reg,0.7628865979381443,97
2,2025txpla,log_reg,0.7564102564102564,78
2,2025vapor,log_reg,0.6811594202898551,69
2,2025wasam,log_reg,0.7792207792207793,77
3,2025alhu,knn,0.625,96
3,2025azfg,knn,0.7083333333333334,96
3,2025brba,knn,0.6063829787234043,94
3,2025cada,knn,0.6626506024096386,83
3,2025cala,knn,0.7126436781609196,87
3,2025casj,knn,0.8089887640449438,89
3,2025cnsh,knn,0.7397260273972602,73
3,2025flta,knn,0.6923076923076923,78
3,2025gagwi,knn,0.6265060240963856,83
3,2025inkok,knn,0.6,95
3,2025isde4,knn,0.6666666666666666,81
3,2025mawne,knn,0.6705882352941176,85
3,2025mdbet,knn,0.6301369863013698,73
3,2025mdsev,knn,0.647887323943662,71
3,2025melew,knn,0.7368421052631579,76
3,2025mibel,knn,0.7157894736842105,95
3,2025miber,knn,0.6470588235294118,85
3,2025mibkn,knn,0.6041666666666666,96
3,2025midtr,knn,0.6842105263157895,95
3,2025mimus,knn,0.7526881720430108,93
3,2025mitvc,knn,0.6701030927835051,97
3,2025mosl,knn,0.6666666666666666,90
3,2025mslr,knn,0.7662337662337663,77
3,2025mxle,knn,0.7142857142857143,77
3,2025ncash,knn,0.6779661016949152,59
3,2025ncwak,knn,0.7215189873417721,79
3,2025ndgf,knn,0.6881720430107527,93
3,2025njrob,knn,0.6527777777777778,72
3,2025nyro,knn,0.6666666666666666,96
3,2025onosh,knn,0.7272727272727273,77
3,2025paphi,knn,0.746268656716418,67
3,2025rikin,knn,0.5888888888888889,90
3,2025tuak,knn,0.7176470588235294,85
3,2025txman,knn,0.676923076923077,65
3,2025txsan,knn,0.6363636363636364,99
3,2025txvic,knn,0.8153846153846154,65
3,2025utwv,knn,0.6704545454545454,88
3,2025wabon,knn,0.6867469879518072,83
3,2025wayak,knn,0.6746987951807228,83
3,2025alhu,random_forest,0.7083333333333334,96
3,2025azfg,random_forest,0.7916666666666666,96
3,2025brba,random_forest,0.6595744680851063,94
3,2025cada,random_forest,0.6867469879518072,83
3,2025cala,random_forest,0.7816091954022989,87
3,2025casj,random_forest,0.7865168539325843,89
3,2025cnsh,random_forest,0.7671232876712328,73
3,2025flta,random_forest,0.7948717948717948,78
3,2025gagwi,random_forest,0.7349397590361446,83
3,2025inkok,random_forest,0.6631578947368421,95
3,2025isde4,random_forest,0.7037037037037037,81
3,2025mawne,random_forest,0.7411764705882353,85
3,2025mdbet,random_forest,0.6438356164383562,73
3,2025mdsev,random_forest,0.6901408450704225,71
3,2025melew,random_forest,0.8289473684210527,76
3,2025mibel,random_forest,0.6842105263157895,95
3,2025miber,random_forest,0.6705882352941176,85
3,2025mibkn,random_forest,0.7291666666666666,96
3,2025midtr,random_forest,0.7473684210526316,95
3,2025mimus,random_forest,0.7849462365591398,93
3,2025mitvc,random_forest,0.6804123711340206,97
3,2025mosl,random_forest,0.7333333333333333,90
3,2025mslr,random_forest,0.8311688311688312,77
3,2025mxle,random_forest,0.7662337662337663,77
3,2025ncash,random_forest,0.7627118644067796,59
3,2025ncwak,random_forest,0.7215189873417721,79
3,2025ndgf,random_forest,0.7096774193548387,93
3,2025njrob,random_forest,0.7777777777777778,72
3,2025nyro,random_forest,0.6875,96
3,2025onosh,random_forest,0.6883116883116883,77
3,2025paphi,random_forest,0.8208955223880597,67
3,2025rikin,random_forest,0.6444444444444445,90
3,2025tuak,random_forest,0.7411764705882353,85
3,2025txman,random_forest,0.7538461538461538,65
3,2025txsan,random_forest,0.6464646464646465,99
3,2025txvic,random_forest,0.8153846153846154,65
3,2025utwv,random_forest,0.7613636363636364,88
3,2025wabon,random_forest,0.7469879518072289,83
3,2025wayak,random_forest,0.7228915662650602,83
3,2025alhu,log_reg,0.6875,96
3,2025azfg,log_reg,0.7708333333333334,96
3,2025brba,log_reg,0.7446808510638298,94
3,2025cada,log_reg,0.6867469879518072,83
3,2025cala,log_reg,0.7931034482758621,87
3,2025casj,log_reg,0.7752808988764045,89
3,2025cnsh,log_reg,0.7534246575342466,73
3,2025flta,log_reg,0.8076923076923077,78
3,2025gagwi,log_reg,0.6987951807228916,83
3,2025inkok,log_reg,0.7052631578947368,95
3,2025isde4,log_reg,0.7160493827160493,81
3,2025mawne,log_reg,0.6823529411764706,85
3,2025mdbet,log_reg,0.684931506849315,73
3,2025mdsev,log_reg,0.704225352112676,71
3,2025melew,log_reg,0.8421052631578947,76
3,2025mibel,log_reg,0.7052631578947368,95
3,2025miber,log_reg,0.6705882352941176,85
