address,city,country,district,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year
"2211 Tony Ingle Parkway, Dalton, GA 30720, USA",Dalton,USA,"{'abbreviation': 'pch', 'display_name': 'Peachtree', 'key': '2022pch', 'year': 2022}",[],2022-03-12,gadal,1,District,gadal,,ChIJrUGxJksLYIgRDbZ6E1rb5gc,https://maps.google.com/?cid=569383582829295117,2022gadal,34.75926949999999,-85.0054479,Dalton Convention Center,PCH District Dalton Event,,0.0,,30720,,Dalton,2022-03-10,GA,America/New_York,"[{'channel': 'gafirst2', 'type': 'twitch'}, {'channel': 'gafirst1', 'type': 'twitch'}]",http://www.gafirst.org,1.0,2022
"2001 Riverside Dr, Gainesville, GA 30501, USA",Gainesville,USA,,[],2022-10-23,gagr,99,Offseason,gagai,,ChIJX_hRRxP29YgRwNHAPv_2TgM,https://maps.google.com/?cid=238399406427132352,2022gagr,34.3323099,-83.8325229,Riverside Military Academy,GRITS (Georgia Robotics Invitational Tournament & Showcase),,0.0,,30501,,GRITS,2022-10-22,GA,America/New_York,"[{'channel': 'gafirst1', 'type': 'twitch'}]",https://gafirst.org/events/grits-2022/,,2022
"1001 Avenida De Las Americas, Houston, TX 77010, USA",Houston,USA,,[],2022-04-23,gal,3,Championship Division,galileo,,ChIJgw3vTiK_QIYRsMwBp668_Lo,"https://maps.google.com/?q=1001+Avenida+De+Las+Americas,+Houston,+TX+77010,+USA&ftid=0x8640bf224eef0d83:0xbafcbcaea701ccb0",2022gal,29.7520006,-95.3576434,1001 Avenida De Las Americas,Galileo Division,2022cmptx,0.0,,77010,,Galileo,2022-04-20,TX,America/Chicago,"[{'channel': 'firstinspires_galileo', 'type': 'twitch'}]",https://www.firstchampionship.org,,2022
"3901 N Saginaw Rd, Midland, MI 48640, USA",Midland,USA,,[],2022-10-29,glbbb,99,Offseason,,,ChIJ9zjk_q0qIogRJjWuGPWQ8Go,https://maps.google.com/?cid=7705818344786375974,2022glbbb,43.6407382,-84.2754104,H. H. Dow High School,Great Lakes Bay Bot Bash,,,,48640,,,2022-10-29,MI,America/Detroit,"[{'channel': 'first_glbr', 'type': 'twitch'}]",https://www.first-glbr.org/great-lakes-bay-bot-bash.html,,2022
"1355 Lower Campus Rd, Honolulu, HI 96822, USA",Honolulu,USA,,[],2022-04-02,hiho,0,Regional,hiho,,ChIJ8QSZn5ttAHwRe5_SpBQdDS4,https://maps.google.com/?cid=3318340474943741819,2022hiho,21.2942686,-157.8189199,Stan Sheriff Center,Hawaii Regional,,0.0,,96822,,Hawaii,2022-03-30,HI,Pacific/Honolulu,"[{'channel': 'firstinspires30', 'type': 'twitch'}, {'channel': 'firstinspires32', 'type': 'twitch'}]",https://hawaiifirstrobotics.org/,4.0,2022
"1001 Avenida De Las Americas, Houston, TX 77010, USA",Houston,USA,,[],2022-04-23,hop,3,Championship Division,hopper,,ChIJgw3vTiK_QIYRsMwBp668_Lo,"https://maps.google.com/?q=1001+Avenida+De+Las+Americas,+Houston,+TX+77010,+USA&ftid=0x8640bf224eef0d83:0xbafcbcaea701ccb0",2022hop,29.7520006,-95.3576434,1001 Avenida De Las Americas,Hopper Division,2022cmptx,0.0,,77010,,Hopper,2022-04-20,TX,America/Chicago,"[{'channel': 'firstinspires_hopper', 'type': 'twitch'}]",https://www.firstchampionship.org,,2022
"2501 Hudson Rd, Cedar Falls, IA 50614, USA",Cedar Falls,USA,,[],2022-03-26,iacf,0,Regional,iacf,,ChIJRSeCkvD_74cRHneV5VLNLQY,https://maps.google.com/?cid=445237694102337310,2022iacf,42.514366,-92.467185,McLeod Center,Iowa Regional,,0.0,,50614,,Iowa,2022-03-23,IA,America/Chicago,"[{'channel': 'firstinspires10', 'type': 'twitch'}, {'channel': 'firstinspires9', 'type': 'twitch'}]",http://iafirst.org/,3.0,2022
"16200 N Idaho Center Blvd, Nampa, ID 83687, USA",Nampa,USA,,[],2022-04-02,idbo,0,Regional,idbo,,ChIJ4c6VK3hNrlQRIleoGwNXkf4,"https://maps.google.com/?q=16200+N+Idaho+Center+Blvd,+Nampa,+ID+83687,+USA&ftid=0x54ae4d782b95cee1:0xfe9157031ba85722",2022idbo,43.6081417,-116.5075369,16200 N Idaho Center Blvd,Idaho Regional,,0.0,,83687,,Idaho,2022-03-30,ID,America/Boise,"[{'channel': 'firstinspires13', 'type': 'twitch'}, {'channel': 'firstinspires14', 'type': 'twitch'}]",https://idahofrcregional.org/,4.0,2022
"525 S Racine Ave, Chicago, IL 60607, USA",Chicago,USA,,[],2022-04-09,ilch,0,Regional,ilch,,ChIJycjqEuAsDogRqIProVv3fG8,https://maps.google.com/?cid=8033567808252773288,2022ilch,41.8748298,-87.6562537,Credit Union 1 Arena,Midwest Regional,,0.0,,60607,,Midwest,2022-04-06,IL,America/Chicago,"[{'channel': 'firstinspires7', 'type': 'twitch'}, {'channel': 'firstinspires8', 'type': 'twitch'}]",https://www.firstillinoisrobotics.org/frc/events/midwest-regional/,5.0,2022
"1501 W Bradley Ave, Peoria, IL 61625, USA",Peoria,USA,,[],2022-03-19,ilpe,0,Regional,ilpe,,ChIJgR_ZrUdZCogRj1gzkhkaNfY,https://maps.google.com/?cid=17741115004225280143,2022ilpe,40.6977743,-89.6153484,Bradley University,Central Illinois Regional,,0.0,,61625,,Central Illinois,2022-03-16,IL,America/Chicago,"[{'channel': 'firstinspires5', 'type': 'twitch'}, {'channel': 'firstinspires6', 'type': 'twitch'}]",http://www.firstillinoisrobotics.org/frc/events/central-illinois-regional/,2.0,2022
