base_event_key,phase,years_count,mean_ratio_var,mean_ratio_std,mean_ratio_cv,mean_ratio_autocorr,median_ratio_var,median_ratio_std,median_ratio_cv,median_ratio_autocorr,mode_ratio_var,mode_ratio_std,mode_ratio_cv,mode_ratio_autocorr
miliv,teleop,8,0.013190921740719997,0.11485173808314786,0.1269241078055045,-0.05668744078798593,0.013071610087912418,0.11433114224878722,0.12385180402101036,0.026618079933090285,0.029668094994829253,0.17224428871468933,0.17419040459840332,0.40863635821735894
milsu,teleop,7,0.00427545228545912,0.06538694277498466,0.06701564855311992,-0.24829124990533522,0.004648998794893085,0.06818356689769967,0.06874358400106953,-0.6519333818107835,0.05300449005968543,0.2302270402443758,0.22225733353279656,-0.1605316446053811
mimar,teleop,4,0.007636719956234386,0.08738832848976107,0.07924472178037509,-0.8966206287730722,0.011059333810381215,0.10516336724535409,0.09262641927506253,-0.9604749230101408,0.04235856745932552,0.2058119711273509,0.157464702309183,-0.9900120535793059
mimcc,teleop,5,0.006510636310628128,0.08068851411835595,0.08325223825896089,0.9793718903766402,0.008750895573980287,0.09354622159114866,0.091378393667602,0.8270410874945842,10.833112531050542,3.2913694005763836,1.1180617133522064,0.33689717506628225
mimid,teleop,8,0.007599466126598875,0.08717491684308551,0.09609499842526151,0.11615349716193549,0.0058359675039418146,0.07639350433081214,0.08230581045502627,-0.0015541420668985064,0.0934254023953065,0.3056556925615921,0.30632499549416453,-0.21664745693131104
mimil,teleop,7,0.023435211477991467,0.1530856344599044,0.16360021839639957,0.31358407519920095,0.023637647322453326,0.15374539772771517,0.15876473304421893,0.24872305143788165,11.0161194477037,3.3190539989135006,1.4575553826466812,-0.2079257081309342
mimus,teleop,5,0.0031204399694319436,0.05586089839442205,0.06789911715105744,0.03024204649603826,0.0013751343282740417,0.037082803673320626,0.043125815569663266,-0.10897689367243768,0.053100137257264,0.2304346702587612,0.26971021425760616,-0.3849441491492463
misal,teleop,3,0.0052467781423421135,0.07243464738881604,0.07569692798931195,0.9999999999999999,0.008497361826555848,0.09218113595826344,0.09421208094363243,1.0,0.02443072666879624,0.15630331624375807,0.14963264590329273,1.0
mishe,teleop,3,0.0048371196023314685,0.06954940404008843,0.0688306807881714,1.0,0.002012370921687798,0.04485945743862489,0.04480695862131652,1.0,0.0061272819339054695,0.0782769565958301,0.07788569802529306,-1.0
misjo,teleop,9,0.010823014412782614,0.10403371767260178,0.11502008032609341,-0.6479529938966327,0.01236036775474338,0.11117719080253548,0.12079665092123469,-0.6805206388446676,0.38039377814076575,0.6167607138435178,0.615637692416963,-0.06331094524321504
misou,teleop,4,0.0025375007988179144,0.05037361212795757,0.06369146701749094,-0.7311525250700921,0.004790717934317495,0.06921501234788227,0.09002110947102092,-0.8018893717863949,0.19523319132925138,0.44185200161281535,0.6333271605291956,-0.24765063048690578
mitry,teleop,8,0.005816332409463578,0.076264883199698,0.0755597794964224,0.1370730583566535,0.006015417454903435,0.07755912231906338,0.07582051569944075,0.3563366347400303,0.13419451255116188,0.36632569190702674,0.3605376396563149,-0.15149102133528866
mitvc,teleop,9,0.008337823552209295,0.09131168354711951,0.09910671648393289,-0.24888689571473552,0.007190956761844078,0.08479950920756604,0.09101191690985283,-0.4288995874335105,3.968590602901693,1.992132175058094,1.1769951456398609,-0.2292339333345174
miwmi,teleop,8,0.004752733839220344,0.06894007426178438,0.0678331553376674,0.24011741705529585,0.004778003916211541,0.06912310696295082,0.06614526656514759,0.5057755706559746,0.0795093975947696,0.2819741080219416,0.24730751326010947,-0.1860851149178722
mndu,teleop,8,0.009364745739118958,0.09677161639199253,0.10393601646127891,-0.5053793164613225,0.013769538473368403,0.11734367675068139,0.12172817145897373,-0.32617438525634607,3.9425431466991405,1.985583830186764,1.1860646113875426,-0.21755498272910084
mndu2,teleop,8,0.012704826003939157,0.11271568659214722,0.1263205172070328,-0.17517668153071145,0.015485155789100718,0.12443936591408973,0.13977795407420926,-0.029565823368694687,2.148395421205459,1.4657405709079143,1.0825000326137657,-0.1152439325534598
mnmi,teleop,8,0.004626998430929077,0.0680220437132631,0.07116083515399273,-0.10978415805329547,0.009674063486954267,0.09835681718596971,0.09909050235331897,-0.20975740564100012,0.23082375977153552,0.4804412136479712,0.4406553225799463,-0.1126336166701711
mnmi2,teleop,8,0.006572105261537526,0.08106852201401926,0.07645572623559573,0.460386075257089,0.012581381934140363,0.11216675948845256,0.10252844455532018,0.5818809073891125,0.20899527102519683,0.45716000593358647,0.45257353524158694,0.0027431774424257565
mokc,teleop,9,0.010672292780412304,0.10330678961429546,0.10796924725636181,-0.19218279438910965,0.013422431418517669,0.11585521748509071,0.11865626258897222,-0.43523158187867417,0.19096649471916557,0.4369971335365549,0.4323056416110103,-0.22522284726533195
mose,teleop,3,0.00911436865332489,0.09546920264318169,0.09981698244288985,0.9999999999999998,0.0039885699903048945,0.06315512639766382,0.0633610990105464,0.9999999999999999,0.01119663280108042,0.1058141427271441,0.0849392812065096,-1.0
mosl,teleop,8,0.003390435579081393,0.05822744695658048,0.06563215975952827,-0.5273668044290788,0.005278561000893396,0.07265370603688015,0.08204381343864488,-0.38528380418226504,0.11880359860765445,0.3446789790626264,0.39672708982410515,-0.02214472645411004
mrcmp,teleop,8,0.018853128331294742,0.13730669441543897,0.09883908832548027,0.23105878722660153,0.03406129488562821,0.1845570233982663,0.12879399139614858,0.4185817335862308,0.1019549315589236,0.3193038232763955,0.18970376230951091,0.4208362802023589
mslr,teleop,3,0.0033534443583141133,0.05790893159361614,0.07115846496729536,-1.0,0.007585931565729442,0.0870972534913096,0.10369697372647063,-0.9999999999999999,0.0017516611731377754,0.041852851433776594,0.0502696062708066,1.0
mxmo,teleop,7,0.008102408807224504,0.0900133812675899,0.1407805081066943,-0.08982191563489923,0.013231538496095499,0.11502842473100072,0.1814030738010196,0.060170291683366905,0.08988258512651548,0.29980424467728184,0.48952832484477615,-0.3263845039789499
mxto,teleop,7,0.010771661241112564,0.10378661397845372,0.1353862929435425,0.08507060008482889,0.017959093139446682,0.13401154106809862,0.17982101066153125,-0.08312422605617953,0.11019010372921947,0.33194894747418535,0.5458318085676578,-0.46990414947225717
ncash,teleop,8,0.011381018031310912,0.10668185427386849,0.1258417399591038,0.5126206465929347,0.010876427231661236,0.10429011090060858,0.1190383025522009,0.4673456300270374,0.12492378571429315,0.3534455908825192,0.4417080243698412,-0.6417048196635893
