week,event_key,model,num_matches,accuracy
1,2025nhsal,lightgbm,87,0.7471264367816092
1,2025nhsal,log_reg,87,0.7816091954022989
1,2025nhsal,xgboost,87,0.7471264367816092
1,2025onnew,lightgbm,73,0.6164383561643836
1,2025onnew,log_reg,73,0.589041095890411
1,2025onnew,xgboost,73,0.5753424657534246
1,2025orsal,lightgbm,87,0.735632183908046
1,2025orsal,log_reg,87,0.6781609195402298
1,2025orsal,xgboost,87,0.7011494252873564
1,2025pahat,lightgbm,79,0.7974683544303798
1,2025pahat,log_reg,79,0.7848101265822784
1,2025pahat,xgboost,79,0.7848101265822784
1,2025txtom,lightgbm,83,0.7349397590361446
1,2025txtom,log_reg,83,0.7590361445783133
1,2025txtom,xgboost,83,0.7228915662650602
1,2025txwac,lightgbm,97,0.7319587628865979
1,2025txwac,log_reg,97,0.7216494845360825
1,2025txwac,xgboost,97,0.7422680412371134
1,2025vagle,lightgbm,83,0.6987951807228916
1,2025vagle,log_reg,83,0.6626506024096386
1,2025vagle,xgboost,83,0.7228915662650602
1,2025wasno,lightgbm,81,0.7901234567901234
1,2025wasno,log_reg,81,0.7777777777777778
1,2025wasno,xgboost,81,0.8148148148148148
2,2025arli,lightgbm,75,0.8666666666666667
2,2025arli,log_reg,75,0.8533333333333334
2,2025arli,xgboost,75,0.8933333333333333
2,2025ausc,lightgbm,91,0.8021978021978022
2,2025ausc,log_reg,91,0.8351648351648352
2,2025ausc,xgboost,91,0.8021978021978022
2,2025cave,lightgbm,93,0.7419354838709677
2,2025cave,log_reg,93,0.7419354838709677
2,2025cave,xgboost,93,0.7204301075268817
2,2025ctwat,lightgbm,89,0.7303370786516854
2,2025ctwat,log_reg,89,0.6966292134831461
2,2025ctwat,xgboost,89,0.7078651685393258
2,2025gadal,lightgbm,77,0.8051948051948052
2,2025gadal,log_reg,77,0.8181818181818182
2,2025gadal,xgboost,77,0.7792207792207793
2,2025isde3,lightgbm,73,0.7808219178082192
2,2025isde3,log_reg,73,0.7534246575342466
2,2025isde3,xgboost,73,0.7671232876712328
2,2025mabos,lightgbm,91,0.6813186813186813
2,2025mabos,log_reg,91,0.7142857142857143
2,2025mabos,xgboost,91,0.6593406593406593
2,2025mdpas,lightgbm,89,0.7865168539325843
2,2025mdpas,log_reg,89,0.7752808988764045
2,2025mdpas,xgboost,89,0.797752808988764
2,2025miesc,lightgbm,91,0.7362637362637363
2,2025miesc,log_reg,91,0.7692307692307693
2,2025miesc,xgboost,91,0.7362637362637363
2,2025mike2,lightgbm,93,0.7526881720430108
2,2025mike2,log_reg,93,0.7526881720430108
2,2025mike2,xgboost,93,0.7526881720430108
2,2025mimtp,lightgbm,96,0.6666666666666666
2,2025mimtp,log_reg,96,0.6875
2,2025mimtp,xgboost,96,0.6666666666666666
2,2025misjo,lightgbm,96,0.8333333333333334
2,2025misjo,log_reg,96,0.8229166666666666
2,2025misjo,xgboost,96,0.8229166666666666
2,2025mose,lightgbm,81,0.7160493827160493
2,2025mose,log_reg,81,0.691358024691358
2,2025mose,xgboost,81,0.7037037037037037
2,2025nccat,lightgbm,75,0.76
2,2025nccat,log_reg,75,0.7733333333333333
2,2025nccat,xgboost,75,0.7866666666666666
2,2025njfla,lightgbm,86,0.7790697674418605
2,2025njfla,log_reg,86,0.7558139534883721
2,2025njfla,xgboost,86,0.7674418604651163
2,2025njtab,lightgbm,81,0.7777777777777778
2,2025njtab,log_reg,81,0.7901234567901234
2,2025njtab,xgboost,81,0.7777777777777778
2,2025ntwc,lightgbm,83,0.6385542168674698
2,2025ntwc,log_reg,83,0.6626506024096386
2,2025ntwc,xgboost,83,0.6265060240963856
2,2025nysu,lightgbm,89,0.8314606741573034
2,2025nysu,log_reg,89,0.8314606741573034
2,2025nysu,xgboost,89,0.797752808988764
2,2025onsca,lightgbm,74,0.6891891891891891
2,2025onsca,log_reg,74,0.7297297297297297
2,2025onsca,xgboost,74,0.7297297297297297
2,2025onwel,lightgbm,69,0.8405797101449275
2,2025onwel,log_reg,69,0.8115942028985508
2,2025onwel,xgboost,69,0.8115942028985508
2,2025orore,lightgbm,75,0.68
2,2025orore,log_reg,75,0.6533333333333333
2,2025orore,xgboost,75,0.6933333333333334
2,2025qcmo,lightgbm,89,0.8202247191011236
2,2025qcmo,log_reg,89,0.7865168539325843
2,2025qcmo,xgboost,89,0.8089887640449438
2,2025schar,lightgbm,85,0.7529411764705882
2,2025schar,log_reg,85,0.7294117647058823
2,2025schar,xgboost,85,0.788235294117647
2,2025tuhc,lightgbm,90,0.6777777777777778
2,2025tuhc,log_reg,90,0.6333333333333333
2,2025tuhc,xgboost,90,0.6555555555555556
2,2025tuis,lightgbm,79,0.8354430379746836
2,2025tuis,log_reg,79,0.8987341772151899
2,2025tuis,xgboost,79,0.8481012658227848
2,2025tuis2,lightgbm,87,0.8160919540229885
2,2025tuis2,log_reg,87,0.7816091954022989
2,2025tuis2,xgboost,87,0.8045977011494253
2,2025tuis3,lightgbm,83,0.7349397590361446
2,2025tuis3,log_reg,83,0.7469879518072289
2,2025tuis3,xgboost,83,0.7228915662650602
2,2025txbel,lightgbm,97,0.7422680412371134
2,2025txbel,log_reg,97,0.7422680412371134
2,2025txbel,xgboost,97,0.7422680412371134
2,2025txpla,lightgbm,78,0.7692307692307693
2,2025txpla,log_reg,78,0.7435897435897436
2,2025txpla,xgboost,78,0.7564102564102564
2,2025vapor,lightgbm,69,0.7391304347826086
2,2025vapor,log_reg,69,0.7536231884057971
2,2025vapor,xgboost,69,0.7246376811594203
2,2025wasam,lightgbm,77,0.7662337662337663
2,2025wasam,log_reg,77,0.7402597402597403
2,2025wasam,xgboost,77,0.7662337662337663
